state,date,temperature,humidity,rain_mm,month,rainfall_prev,rain
Arunachal Pradesh,2025-09-01,25.6,75,3.1,9,0.0,1
Arunachal Pradesh,2025-09-02,26.3,75,0.1,9,3.1,0
Arunachal Pradesh,2025-09-03,26.9,75,0.3,9,0.1,1
Arunachal Pradesh,2025-09-04,25.9,75,6.5,9,0.3,1
Arunachal Pradesh,2025-09-05,24.9,75,1.5,9,6.5,1
Arunachal Pradesh,2025-09-06,24.7,75,5.9,9,1.5,1
Arunachal Pradesh,2025-09-07,24.4,75,26.0,9,5.9,1
Arunachal Pradesh,2025-09-08,25.0,75,5.7,9,26.0,1
Arunachal Pradesh,2025-09-09,24.8,75,0.5,9,5.7,1
Arunachal Pradesh,2025-09-10,24.1,75,7.7,9,0.5,1
Arunachal Pradesh,2025-09-11,24.0,75,9.7,9,7.7,1
Arunachal Pradesh,2025-09-12,25.1,75,5.2,9,9.7,1
Arunachal Pradesh,2025-09-13,23.7,75,16.7,9,5.2,1
Arunachal Pradesh,2025-09-14,24.8,75,21.0,9,16.7,1
Arunachal Pradesh,2025-09-15,23.8,75,22.3,9,21.0,1
Arunachal Pradesh,2025-09-16,22.9,75,21.0,9,22.3,1
Arunachal Pradesh,2025-09-17,22.7,75,13.9,9,21.0,1
Arunachal Pradesh,2025-09-18,23.1,75,9.7,9,13.9,1
Arunachal Pradesh,2025-09-19,24.3,75,2.8,9,9.7,1
Arunachal Pradesh,2025-09-20,24.8,75,0.7,9,2.8,1
Arunachal Pradesh,2025-09-21,25.3,75,0.0,9,0.7,0
Arunachal Pradesh,2025-09-22,25.5,75,0.0,9,0.0,0
Arunachal Pradesh,2025-09-23,26.5,75,0.8,9,0.0,1
Arunachal Pradesh,2025-09-24,26.3,75,0.1,9,0.8,0
Arunachal Pradesh,2025-09-25,26.2,75,0.0,9,0.1,0
Arunachal Pradesh,2025-09-26,26.9,75,0.0,9,0.0,0
Arunachal Pradesh,2025-09-27,24.6,75,2.5,9,0.0,1
Arunachal Pradesh,2025-09-28,26.2,75,0.7,9,2.5,1
Arunachal Pradesh,2025-09-29,26.0,75,0.0,9,0.7,0
Arunachal Pradesh,2025-09-30,26.0,75,11.5,9,0.0,1
Arunachal Pradesh,2025-10-01,22.2,75,7.5,10,11.5,1
Arunachal Pradesh,2025-10-02,23.0,75,13.7,10,7.5,1
Arunachal Pradesh,2025-10-03,22.8,75,13.6,10,13.7,1
Arunachal Pradesh,2025-10-04,22.8,75,50.6,10,13.6,1
Arunachal Pradesh,2025-10-05,22.7,75,37.5,10,50.6,1
Arunachal Pradesh,2025-10-06,22.9,75,8.0,10,37.5,1
Arunachal Pradesh,2025-10-07,23.6,75,6.3,10,8.0,1
Arunachal Pradesh,2025-10-08,22.9,75,15.6,10,6.3,1
